Date,^XAU,GOLD,KGC,NEM,^DJI,^GSPC
6/7/2013,-0.038944483,-0.041646909,-0.047112454,-0.024034339,0.013795974,0.012831541
6/10/2013,0.001704226,0.007407389,0.007974512,-0.006156525,-0.000625013,-0.000346813
6/11/2013,-0.031758039,-0.036764707,-0.060126599,-0.032153395,-0.007649678,-0.010153367
6/12/2013,0.008102247,0.006106913,-0.010101,0.01584884,-0.0083844,-0.008369556
6/13/2013,0.00948972,0.002023217,0.022108863,0.00990093,0.012060475,0.014784291
6/14/2013,-0.016211055,-0.015648636,-0.031613985,-0.013963197,-0.006978112,-0.005885016
6/17/2013,0.00438772,-0.00410256,0.008591016,0.00753239,0.00727728,0.007567364
6/18/2013,-0.026113993,-0.026776543,-0.017035759,-0.025418616,0.009116089,0.007791158
6/19/2013,-0.028508778,-0.047089916,-0.045060616,-0.021172155,-0.013450642,-0.013851474
6/20/2013,-0.074389494,-0.07828983,-0.083484577,-0.067398108,-0.023416203,-0.025010351
6/21/2013,0.013302346,0.017469819,-0.003960392,0.010084008,0.00278352,0.002669777
6/24/2013,-0.044634085,-0.018946105,-0.031809208,-0.034276167,-0.009449087,-0.012145016
6/25/2013,-0.001259597,-0.027760959,-0.010266882,-0.003101315,0.006872648,0.009497272
6/26/2013,-0.055835848,-0.082557469,-0.053941954,-0.059108226,0.010150876,0.009590486
6/27/2013,0.024286582,0.00608932,0.017543843,0.018001462,0.007669317,0.006199831
6/28/2013,0.068761152,0.058507054,0.099137942,0.080837306,-0.00764689,-0.004289562
7/1/2013,0.014642259,-0.031130863,0,0.00767945,0.004383776,0.005403747
7/2/2013,-0.041652974,-0.048524575,-0.03921565,-0.033465879,-0.002841397,-0.000544908
7/3/2013,0.018594538,0.012405193,0.032653029,-0.005142256,0.00374755,0.000824047
7/5/2013,-0.03191845,-0.063308331,-0.061264812,-0.042729144,0.009838943,0.010201732
7/8/2013,-0.016890317,0.002180213,-0.031578967,-0.027357819,0.005870212,0.005251546
7/9/2013,0.011885084,0.00870195,-0.002173859,0.001850453,0.004968864,0.007229671
7/10/2013,-0.003256178,0.006470176,0.006535889,-0.016992948,-0.000567287,0.000181592
7/11/2013,0.070003501,0.087142876,0.071428557,0.056745592,0.011068763,0.01355425
7/12/2013,-0.023334417,-0.018396891,-0.020202002,-0.024537714,0.000218608,0.003086484
7/15/2013,-0.000781508,0.008032185,-0.012371122,0.005103879,0.001290712,0.001374879
7/16/2013,0.050167574,0.063745021,0.064718151,0.031918791,-0.002093103,-0.003708761
7/17/2013,-0.026492158,-0.019975071,-0.027450955,-0.014762744,0.001208265,0.002774047
7/18/2013,-0.001311505,0.002547768,-0.010080684,0.001070238,0.005043173,0.005032965
7/19/2013,0.037645027,0.050825995,0.046843183,0.022451927,-0.000308698,0.00161005
7/22/2013,0.058110126,0.061668591,0.083657649,0.057859875,0.000116418,0.002033026
7/23/2013,0.032492719,0.030751762,0.017953304,0.026029621,0.001427446,-0.001851937
7/24/2013,-0.045178037,-0.051381231,-0.054673711,-0.04913291,-0.001638003,-0.003811222
7/25/2013,0.010413495,0.019801989,0.001865625,0.010807149,0.000860244,0.002556472
7/26/2013,0.009405591,0.017704138,0.018621957,0.015035043,0.000206982,0.000828294
7/29/2013,-0.008524986,-0.015151541,-0.020109627,-0.008887378,-0.002369095,-0.003736038
7/30/2013,-0.008398284,-0.019942934,-0.018656698,0.001328429,-8.89E-05,0.000373817
7/31/2013,-0.004335555,-0.013372177,-0.005703462,-0.004975112,-0.00135625,-0.000136409
8/1/2013,-0.026734171,-0.009428394,-0.02103253,-0.013666662,0.008289245,0.01254057
8/2/2013,-0.01997709,-0.007733442,-0.003906246,-0.027036135,0.001941437,0.001640458
8/5/2013,-0.004777626,-0.017386146,0,-0.010767675,-0.002952446,-0.001479835
8/6/2013,-0.05227226,-0.045149469,-0.027450955,-0.06495788,-0.005981865,-0.005723034
8/7/2013,-0.003714478,-0.00638974,-0.006048429,-0.005632731,-0.003097565,-0.003805865
8/8/2013,0.084171244,0.099678468,0.060851968,0.086858051,0.001787278,0.00388545
8/9/2013,0.017715763,0.018713432,0.001911998,0.02536482,-0.004697964,-0.003569961
8/12/2013,0.051914801,0.045350115,0.062977178,0.047102656,-0.00037795,-0.001152921
8/13/2013,-0.023751605,-0.022515094,-0.032316032,-0.026537207,0.002031824,0.002776056
8/14/2013,0.049057714,0.05224721,0.072356281,0.061835127,-0.007336065,-0.005176618
8/15/2013,0.055413001,0.057661503,0.048442859,0.040075162,-0.014700399,-0.014281601
8/16/2013,-0.01594024,-0.024230164,-0.023102288,-0.025285976,-0.002032843,-0.003304595
8/19/2013,-0.017479602,-0.005173325,-0.035472979,-0.009264955,-0.004689828,-0.005900302
8/20/2013,0.033159441,0.028081172,0.035026236,0.022755595,-0.000516297,0.003821195
8/21/2013,-0.040389432,-0.03540722,-0.060913649,-0.029564193,-0.007027961,-0.005779603
8/22/2013,0.018414121,0.025694797,0.0216216,0.010364259,0.004443041,0.008619376
8/23/2013,0.027583006,0.026073632,0.029982376,0.025800494,0.003125524,0.003947011
8/26/2013,0.007900146,0.01793725,0.010273963,0.008787907,-0.004266997,-0.004039658
8/27/2013,-0.044179204,-0.034752863,-0.044067835,-0.035446088,-0.011396015,-0.015874195
8/28/2013,-0.028049525,-0.019776846,-0.024822672,-0.023980082,0.003274192,0.002747645
8/29/2013,0.005081484,0.018623932,0.001818223,0.015634964,0.001109003,0.001963402
8/30/2013,-0.013259557,-0.027425135,-0.001814923,-0.001884997,-0.0020646,-0.003174318
9/3/2013,0.0120843,0.018798988,0.012727304,-0.009442907,0.001596887,0.004164222
9/4/2013,0.000573097,-0.005125596,0.005385948,0.004766493,0.006532993,0.008116953
9/5/2013,-0.033412888,-0.025759918,-0.028571402,-0.04174578,0.00044273,0.001209863
9/6/2013,0.017382737,0.008989957,0.018382335,0.004290464,-0.001002878,5.44E-05
9/9/2013,-0.007960389,0.006289352,-0.00722021,-0.001643153,0.009423362,0.009992881
9/10/2013,-0.035619917,-0.039583344,-0.027272745,-0.038841291,0.008493556,0.007345789
9/11/2013,0.009030942,0.010845925,0.014953257,0.008904052,0.008922356,0.003052283
9/12/2013,-0.049074867,-0.055257447,-0.058931806,-0.041751513,-0.001693785,-0.003380415
9/13/2013,0.011844361,0.006246377,0.01369857,-0.001062656,0.004929201,0.00271468
9/16/2013,-0.007734091,0.023702037,0.001930546,-0.002482326,0.00772114,0.005693153
9/17/2013,0.016536756,0.01047412,0.013487509,0.013864248,0.002255611,0.004217739
9/18/2013,0.086726712,0.097108603,0.085551291,0.082398329,0.009479235,0.012177673
9/19/2013,-0.027936693,-0.033316761,-0.028020989,-0.035309366,-0.002576435,-0.001842954
9/20/2013,-0.060814096,-0.042695468,-0.064864887,-0.05742112,-0.01186067,-0.007216886
9/23/2013,-0.017545695,-0.013970995,-0.015414243,-0.006768811,-0.003217246,-0.004719587
9/24/2013,-0.003720617,0.011444092,-0.025440335,0.004304191,-0.004336627,-0.002597143
9/25/2013,0.0166453,0.005926757,0.024096362,0.011071409,-0.00399946,-0.002739466
9/26/2013,-0.015848049,-0.007498628,-0.01568626,-0.004945228,0.003603686,0.003485426
9/27/2013,-0.000319919,0,-0.005976137,-0.006744783,-0.004570603,-0.004073801
9/30/2013,-0.003413694,0.004856997,0.012024133,0.004288808,-0.008426287,-0.006029231
10/1/2013,-0.022050927,-0.031686366,-0.023762447,-0.031672644,0.004099909,0.007998543
10/2/2013,0.004487697,0.021075937,-0.012170374,0.011760441,-0.003854772,-0.00066667
10/3/2013,-0.013294035,-0.016838646,-0.00616011,-0.020704743,-0.009030458,-0.008979415
10/4/2013,-0.002098315,-0.003867386,-0.00619839,-0.005934713,0.005074498,0.007053224
10/7/2013,0.01582559,0.013865779,0.020790001,0.013806002,-0.009045554,-0.008506362
10/8/2013,-0.031049117,-0.033916894,-0.026476505,-0.030180335,-0.010692782,-0.012332079
10/9/2013,-0.001686547,0.000566264,-0.002092098,0.005692585,0.001790014,0.000573906
10/10/2013,-0.002928282,0.009620831,-0.012578604,-0.007547199,0.021825999,0.021830496
10/11/2013,-0.020106165,-0.034192859,-0.012738841,-0.025855453,0.007340971,0.006286272
10/14/2013,0.006455303,0.001741189,-0.004301071,0.004683799,0.004210077,0.00407472
10/15/2013,0.023937739,0.030127488,0.036717078,0.013986038,-0.008708433,-0.007063723
10/16/2013,-0.013199108,-0.008998866,-0.020833412,-0.008429165,0.013569368,0.013827532
10/17/2013,0.050442041,0.049943196,0.038297939,0.045595067,-0.000141779,0.006743953
10/18/2013,-0.005395489,0.001081106,-0.004098357,-0.005173666,0.001821535,0.006548755
10/21/2013,0.019420646,0.023218158,0.037037001,0.021545317,-0.00048379,9.17E-05
10/22/2013,0.042145585,0.049076431,0.031746002,0.034909058,0.00490248,0.005737513
10/23/2013,-0.026245912,-0.024647877,-0.044230775,-0.041110267,-0.003512495,-0.004724557
10/24/2013,0.038699554,0.03506964,0.034205248,0.013191597,0.006220582,0.003258135
10/25/2013,0.006865916,0.003487778,0.007782094,0.006509957,0.00393768,0.004394844
10/28/2013,0.005114341,0.005461798,0.019305094,0.008983112,-8.67E-05,0.0013297
10/29/2013,-0.025242007,-0.023703681,-0.024621233,-0.015313401,0.007156556,0.005584195
10/30/2013,0.014841398,0.036924609,0.034951422,0.01410493,-0.003927836,-0.004875924
10/31/2013,-0.041149791,-0.054146371,-0.048780442,-0.027817427,-0.004674492,-0.003839381
11/1/2013,-0.03187124,-0.071170666,-0.049309663,-0.046955271,0.004489961,0.002903421
11/4/2013,0.025097757,0.01665737,0.039419098,0.051963064,0.001509413,0.003570559
11/5/2013,-0.011340749,-0.001638382,-0.017964101,0.000731813,-0.001336417,-0.002805588
11/6/2013,0.011256465,0.003282246,0.026422787,0.020840939,0.008237825,0.00426554
11/7/2013,-0.027456842,-0.008724092,-0.031683231,-0.020415462,-0.009709823,-0.013182772
11/8/2013,0.008175278,0.002200165,0.008179952,0.00804385,0.01076055,0.01342756
11/11/2013,0.002594935,-0.001646475,0.002028444,0.000362721,0.001352597,0.000722931
11/12/2013,-0.020381828,-0.008796033,-0.008097158,-0.021754909,-0.00205471,-0.002370392
11/13/2013,0.006825218,0.003882401,0.016326515,0.011860626,0.004505203,0.008095344
11/14/2013,0.02481964,0.000552499,0.036144544,0.028205146,0.00345033,0.004837259
11/15/2013,-0.011949245,-0.002208775,-0.011627896,-0.009975019,0.005384183,0.004222034
11/18/2013,-0.020408157,-0.022136117,-0.035294085,-0.026988124,0.000897106,-0.003698197
11/19/2013,0.000330674,0.009054887,0.006097507,0.011464477,-0.000562672,-0.002042966
11/20/2013,-0.029421467,-0.036455391,-0.040404003,-0.035100584,-0.004146667,-0.003635611
11/21/2013,-0.010899172,-0.019208377,-0.016842089,-0.020083319,0.006865679,0.008128564
11/22/2013,-0.008608815,-0.027893247,0.002141274,-0.004640404,0.00342157,0.004961458
11/25/2013,-0.002894523,0.000610515,0.006410301,-0.008158473,0.000483699,-0.001263342
11/26/2013,-0.021713919,-0.010982325,-0.014862032,-0.031727432,1.62E-05,0.000149804
11/27/2013,0.005815998,0.009253642,0.002155222,-0.004045246,0.001526198,0.002485081
11/29/2013,0.020297395,0.007946159,0.012903213,0.008529613,-0.000678369,-0.00078569
12/2/2013,-0.052972495,-0.057610662,-0.040339715,-0.040273862,-0.004826473,-0.00271902
12/3/2013,-0.012212995,-0.001930485,-0.002212335,-0.018883792,-0.005881115,-0.003192848
12/4/2013,0.026335373,0.010960675,0.024390167,0.021385801,-0.001561494,-0.001303493
12/5/2013,-0.024575363,-0.015943877,-0.012987001,-0.028475646,-0.004295831,-0.004339573
12/6/2013,-0.00209952,-0.001944309,-0.004385961,-0.007758634,0.012558247,0.011237871
12/9/2013,0.020792082,0.038961065,0.008810564,0.025195478,0.00033271,0.0018171
12/10/2013,0.04013091,0.054375052,0.05676861,0.024576268,-0.003269807,-0.003179659
12/11/2013,-0.034502845,-0.029045741,-0.049586827,-0.029363151,-0.008113601,-0.011316875
12/12/2013,-0.012676603,0.004884,0,-0.008095383,-0.006570542,-0.003770562
12/13/2013,0.004524367,0.017010978,-0.002173859,0,0.00101215,-0.00010141
12/16/2013,0.009616566,0.018518487,0.008714588,-0.005154675,0.008201016,0.00632004
12/17/2013,-0.004099397,0.008797744,-0.006479527,-0.002158862,-0.000586138,-0.003100988
12/18/2013,-0.012227629,-0.016860518,-0.02173911,0.001298086,0.018438121,0.016647964
12/19/2013,-0.014462468,-0.019515075,-0.020000034,-0.016421745,0.000687183,-0.000579929
12/20/2013,0.000248684,0,-0.029478377,-0.005272445,0.002599627,0.004818728
12/23/2013,0.00074596,0.005428236,0.004672893,-0.006625425,0.004529318,0.00531812
12/24/2013,0.028575017,0.037192612,0.018604633,0.02934637,0.003862593,0.002915747
12/26/2013,0.006522538,0,-0.004566206,0.007775391,0.007478568,0.004745529
12/27/2013,0.01152045,0.009832167,0.009174303,0.011144459,-8.92E-05,-0.000336584
12/30/2013,-0.022659908,-0.020045733,-0.027272701,-0.02797795,0.001570473,-0.000179254
12/31/2013,0.02148585,0.030391498,0.023364463,0.004361116,0.004384987,0.003959675
1/2/2014,0.040285197,0.038570637,0.022831028,0.04038204,-0.008162715,-0.008861913
1/3/2014,-0.01039529,-0.008738386,0.006696475,-0.001669408,0.001741987,-0.000332965
1/6/2014,0.003809325,0.011019326,0.019955581,0.006688957,-0.002725601,-0.002511767
1/7/2014,-0.000344972,-0.004359669,-0.002173859,-0.005398636,0.006443787,0.006081765
1/8/2014,-0.013344112,-0.016967781,-0.008714588,-0.022964556,-0.00412555,-0.000212209
1/9/2014,-0.018304766,-0.012249406,-0.024175853,-0.00854696,-0.001092192,0.000348309
1/10/2014,0.033848055,0.024802736,0.0135135,0.025862002,-0.000468781,0.002306687
1/13/2014,0.023205015,-0.000550068,0.017777761,0.003361341,-0.010896745,-0.012576217
1/14/2014,-0.014932097,-0.020363282,-0.026200849,-0.019681714,0.00713005,0.010817972
1/15/2014,0.013790735,0.013483241,0.008968601,0.007261857,0.00660071,0.005166188
1/16/2014,0.010118061,0.009423401,0.00888888,0.015691299,-0.003939445,-0.00134712
1/17/2014,0.02726772,0.030752411,0.044052822,0.025052128,0.002530959,-0.003895174
1/21/2014,0.013759443,0.025572697,0.012658317,0.010997982,-0.002680738,0.002773752
1/22/2014,-0.025435474,-0.023376663,-0.035416681,-0.017324751,-0.002503869,0.000574865
1/23/2014,0.024783358,0.027127673,0.021598251,0.031980349,-0.010748585,-0.008889577
1/24/2014,-0.008239665,-0.014500196,-0.016913303,-0.011521689,-0.019647613,-0.020875449
1/27/2014,-0.033448408,-0.026274303,-0.034408671,-0.028135003,-0.002596523,-0.004876294
1/28/2014,0.01752623,0.014570887,0.020044578,0.019851097,0.005725494,0.006140653
1/29/2014,0.021941854,0.038297939,0.019650689,0.008515855,-0.011913791,-0.010209232
1/30/2014,-0.021256074,-0.015368911,-0.01498933,-0.030961015,0.006977685,0.011267045
1/31/2014,-0.005045509,0.00312182,-0.004347822,-0.103734438,-0.009449456,-0.0064653
2/3/2014,-0.008598818,0.001037269,-0.004366808,-0.026851848,-0.020769025,-0.02283192
2/4/2014,0.006894282,-0.007772001,0.010964954,0.007611791,0.004712247,0.007641089
2/5/2014,-0.012037592,-0.030809408,-0.008676781,-0.014636424,-0.000324357,-0.002028223
2/6/2014,-0.000447137,-0.00323273,0.002188129,0.006708164,0.012195401,0.012439793
2/7/2014,0.03131294,0.021081048,0.052401802,0.024274166,0.010592794,0.013301887
2/10/2014,0.030687506,0.020645914,0.056016592,0.031598527,0.000488155,0.001569235
2/11/2014,0.038085166,0.015041442,0.055009769,0.031531479,0.012212508,0.011062114
2/12/2014,-0.027566649,-0.030659192,-0.040968304,-0.017030541,-0.001927449,-0.000269262
2/13/2014,0.037728013,0.059040637,0,0.045313214,0.003987074,0.005810025
2/14/2014,0.024304491,0.012444002,0.013592174,0.012749648,0.007911346,0.004809217
2/18/2014,0.008334136,0.000983307,-0.00957849,0.015946251,-0.001484999,0.001158474
2/19/2014,-0.032672045,-0.028978396,-0.030947746,-0.018174252,-0.005569658,-0.006524484
2/20/2014,0.039203797,0.061203796,0.053892209,0.029028128,0.005777286,0.006031458
2/21/2014,-0.004836526,-0.001429875,-0.00757584,-0.044153719,-0.001855218,-0.001918724
2/24/2014,0.003402081,0.013365096,0.005725231,0.012403804,0.006448358,0.006186513
2/25/2014,-0.01579003,-0.007065456,-0.015180251,0.003379802,-0.001695518,-0.001347682
2/26/2014,-0.013287387,-0.013757069,-0.007707122,-0.008000022,0.001158862,2.17E-05
2/27/2014,-0.001596047,-0.004329011,0.003883491,0.001273374,0.00458318,0.004948083
2/28/2014,-0.005395077,-0.015459014,0.009671124,-0.013988975,0.003014848,0.002782689
3/3/2014,0.014565514,0.005888167,-0.005747076,0.015907091,-0.009415661,-0.00737851
3/4/2014,-0.005049526,-0.006829239,-0.007707122,0.021582744,0.014092662,0.015267701
3/5/2014,0.0145288,0.000982247,-0.017475757,0.018227032,-0.002177448,-5.34E-05
3/6/2014,0.011770521,-0.001471972,-0.013834026,0.014239234,0.003772021,0.001718408
3/7/2014,-0.024333515,-0.021621647,-0.020040062,-0.013237061,0.001877377,0.000538089
3/10/2014,-0.007750385,-0.008036155,0.006135012,-0.011788655,-0.00206902,-0.000463246
3/11/2014,0.000100162,0.003544288,-0.01016264,0.001645451,-0.004106889,-0.005082139
3/12/2014,0.02963852,0.026236149,0.016427089,0.027104716,-0.000683123,0.000305171
3/13/2014,0.024020239,0.022123931,0.056565701,0.018792455,-0.014148672,-0.011701095
3/14/2014,0.00854695,0.005771954,-0.011472264,0.027472558,-0.002682974,-0.002821778
3/17/2014,-0.030979222,-0.021999,-0.04448743,-0.015660804,0.011300481,0.009613635
3/18/2014,-0.008065317,-0.011247014,0.004048579,-0.019402406,0.005476057,0.007219619
3/19/2014,-0.037225735,-0.041048464,-0.032258034,-0.030470932,-0.006979627,-0.006131649
3/20/2014,0.002747296,0.001547225,0,0.003265303,0.006711795,0.006040505
3/21/2014,-0.000405895,-0.00102989,0,-0.001220532,-0.001731687,-0.002932671
3/24/2014,-0.046594294,-0.044845307,-0.05000005,-0.026883905,-0.001599673,-0.00486471
